"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"32001","153648002020004","64010497","",2001,53,5,29,99898,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32002","153648002020004","64010497","",2001,53,5,29,99997,1,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32003","153648002020004","64010497","",2001,53,5,29,99998,1,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"22027","153648002020004","66010497","",2001,53,5,33,2,1,,2000,7,10,,0,558,,,47.724548,-121.697891,2461,,,,,"M242Db",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22029","153648002020004","66010497","",2001,53,5,33,4,1,,2000,7,7,,0,558,,,47.761494,-121.927338,787,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22030","153648002020004","66010497","",2001,53,5,33,5,1,,2000,7,11,,0,558,,,47.749268,-121.991226,492,,,,," 242Ab",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22032","153648002020004","66010497","",2001,53,5,33,13,1,,2000,7,12,,0,558,,,47.728157,-121.729279,1476,,,,,"M242Da",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22034","153648002020004","66010497","",2001,53,5,33,15,1,,2000,7,31,,0,558,,,47.743988,-121.880951,492,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22035","153648002020004","66010497","",2001,53,5,33,16,2,,2001,10,30,,0,558,,,47.735382,-121.922623,591,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22037","153648002020004","66010497","",2001,53,5,33,18,1,,2000,7,13,,0,558,,,47.69371,-122.058174,98,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22039","153648002020004","66010497","",2001,53,5,33,26,1,,2000,7,11,,0,558,,,47.680099,-121.802902,1181,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22041","153648002020004","66010497","",2001,53,5,33,28,2,,2001,10,30,,0,558,,,47.693989,-121.949287,98,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22042","153648002020004","66010497","",2001,53,5,33,29,1,,2000,7,14,,0,558,,,47.693714,-122.007347,591,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22043","153648002020004","66010497","",2001,53,5,33,30,2,,2001,10,30,,0,558,,,47.688156,-122.104012,98,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22044","153648002020004","66010497","",2001,53,5,33,37,1,,2000,7,9,,0,558,,,47.62038,-121.702614,1476,,,,,"M242Da",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22046","153648002020004","66010497","",2001,53,5,33,39,1,,2000,7,7,,0,558,,,47.626766,-121.854561,689,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22048","153648002020004","66010497","",2001,53,5,33,41,2,,2001,10,30,,0,558,,,47.605377,-122.012062,131,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22050","153648002020004","66010497","",2001,53,5,33,51,1,,2000,7,8,,0,558,,,47.163158,-121.87928,1083,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22051","153648002020004","66010497","",2001,53,5,33,52,1,,2000,7,8,,0,558,,,47.548714,-121.808167,886,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22053","153648002020004","66010497","",2001,53,5,33,54,2,,2001,10,30,,0,558,,,47.574272,-121.937614,98,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22057","153648002020004","66010497","",2001,53,5,33,66,1,,2000,7,10,,0,558,,,47.522602,-121.799835,394,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22058","153648002020004","66010497","",2001,53,5,33,67,1,,2000,6,13,,0,558,,,47.532326,-121.880394,787,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22059","153648002020004","66010497","",2001,53,5,33,68,2,,2001,10,30,,0,558,,,47.579334,-121.866646,492,,,,," 242Ae",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22061","153648002020004","66010497","",2001,53,5,33,70,1,,2000,7,6,,0,558,,,47.517883,-122.100952,689,,,,," 242Ae",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22063","153648002020004","66010497","",2001,53,5,33,79,1,,2000,6,7,,0,558,,,47.456772,-121.720665,787,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22064","153648002020004","66010497","",2001,53,5,33,80,1,,2000,6,16,,0,558,,,47.487606,-121.796776,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22066","153648002020004","66010497","",2001,53,5,33,82,1,,2000,11,1,,0,558,,,47.468441,-121.937897,2165,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22068","153648002020004","66010497","",2001,53,5,33,84,2,,2001,10,30,,0,558,,,47.495659,-121.977615,591,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22070","153648002020004","66010497","",2001,53,5,33,93,1,,2000,7,5,,0,558,,,47.430935,-121.927338,886,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22071","153648002020004","66010497","",2001,53,5,33,94,1,,2000,7,6,,0,558,,,47.446774,-121.974556,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22073","153648002020004","66010497","",2001,53,5,33,99,1,,2000,6,29,,0,558,,,47.373161,-121.847336,1083,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22075","153648002020004","66010497","",2001,53,5,33,101,1,,2000,6,10,,0,558,,,47.688438,-121.740395,492,,,,,"M242Da",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22077","153648002020004","66010497","",2001,53,5,33,106,1,,2000,6,30,,0,558,,,47.341774,-121.877884,1673,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22079","153648002020004","66010497","",2001,53,5,33,108,2,,2000,6,6,,0,558,,,47.329544,-122.012619,591,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22080","153648002020004","66010497","",2001,53,5,33,109,2,,2001,10,30,,0,558,,,47.323158,-122.062057,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22081","153648002020004","66010497","",2001,53,5,33,115,2,,2001,10,30,,0,558,,,47.295101,-121.772057,1181,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22084","153648002020004","66010497","",2001,53,5,33,118,1,,2000,6,15,,0,558,,,47.302605,-122.029564,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22085","153648002020004","66010497","",2001,53,5,33,119,1,,2000,6,20,,0,558,,,47.302322,-122.088448,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22087","153648002020004","66010497","",2001,53,5,33,126,1,,2000,6,20,,0,558,,,47.224548,-121.947891,886,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22088","153648002020004","66010497","",2001,53,5,33,127,2,,2001,10,30,,0,558,,,47.212883,-122.009834,689,,,,," 242Ab",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22091","153648002020004","66010497","",2001,53,5,33,134,1,,2000,6,28,,0,558,,,47.583164,-121.704834,1673,,,,,"M242Da",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22092","153648002020004","66010497","",2001,53,5,33,135,1,,2000,7,3,,0,558,,,47.154549,-121.924271,1476,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22094","153648002020004","66010497","",2001,53,5,33,137,2,,2001,10,30,,0,558,,,47.167328,-121.98455,689,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22095","153648002020004","66010497","",2001,53,5,33,140,2,,2001,10,30,,0,558,,,47.773167,-121.329269,1083,,,,,"M242Db",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22096","153648002020004","66010497","",2001,53,5,33,141,1,,2000,7,13,,0,558,,,47.739834,-121.466766,1181,,,,,"M242Db",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22098","153648002020004","66010497","",2001,53,5,33,144,1,,2001,12,1,,0,558,,,47.72456,-121.179543,4528,,,,,"M242Db",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22100","153648002020004","66010497","",2001,53,5,33,146,1,,2000,7,13,,0,558,,,47.157337,-121.50898,3150,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22107","153648002020004","66010497","",2001,53,5,33,160,1,,2000,6,27,,0,558,,,47.424831,-121.724831,3740,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22108","153648002020004","66010497","",2001,53,5,33,161,1,,2000,6,12,,0,558,,,47.43066,-121.78344,984,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22112","153648002020004","66010497","",2001,53,5,33,168,1,,2000,7,5,,0,558,,,47.397053,-121.722321,2559,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22114","153648002020004","66010497","",2001,53,5,33,175,1,,2001,12,1,,0,558,,,47.349552,-121.544258,3642,,,,,"M242Db",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22115","153648002020004","66010497","",2001,53,5,33,176,1,,2000,6,23,,0,558,,,47.327606,-121.654823,3445,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22117","153648002020004","66010497","",2001,53,5,33,180,2,,2001,10,30,,0,558,,,47.266647,-121.367821,3248,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22118","153648002020004","66010497","",2001,53,5,33,181,1,,2000,6,22,,0,558,,,47.271778,-121.443428,2854,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22121","153648002020004","66010497","",2001,53,5,33,187,1,,2000,7,7,,0,558,,,47.216503,-121.510925,3346,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22122","153648002020004","66010497","",2001,53,5,33,188,1,,2000,6,14,,0,558,,,47.205662,-121.620384,1378,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22124","153648002020004","66010497","",2001,53,5,33,193,1,,2000,6,15,,0,558,,,47.181507,-121.36676,3445,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22126","153648002020004","66010497","",2001,53,5,33,195,1,,2000,6,22,,0,558,,,47.205109,-121.726768,2854,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22127","153648002020004","66010497","",2001,53,5,33,200,1,,2000,6,27,,0,558,,,47.149002,-121.419533,4724,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22129","153648002020004","66010497","",2001,53,5,33,202,2,,2001,10,30,,0,558,,,47.772984,-122.160439,98,,,,," 242Af",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22130","153648002020004","66010497","",2001,53,5,33,203,2,,2001,10,30,,0,558,,,47.767952,-122.217903,197,,,,," 242Af",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22132","153648002020004","66010497","",2001,53,5,33,205,2,,2001,10,30,,0,558,,,47.764511,-122.362389,197,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22134","153648002020004","66010497","",2001,53,5,33,207,2,,2001,10,30,,0,558,,,47.707043,-122.275688,197,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22135","153648002020004","66010497","",2001,53,5,33,208,2,,2001,10,30,,0,558,,,47.693436,-122.220406,394,,,,," 242Af",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22137","153648002020004","66010497","",2001,53,5,33,210,2,,2001,10,30,,0,558,,,47.690105,-122.1754,295,,,,," 242Af",5301,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22139","153648002020004","66010497","",2001,53,5,33,212,2,,2001,10,30,,0,558,,,47.679817,-122.394295,98,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22140","153648002020004","66010497","",2001,53,5,33,213,2,,2001,10,30,,0,558,,,47.611214,-122.295677,98,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22142","153648002020004","66010497","",2001,53,5,33,215,2,,2001,10,30,,0,558,,,47.607044,-122.148186,197,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22144","153648002020004","66010497","",2001,53,5,33,217,2,,2001,10,30,,0,558,,,47.555382,-122.224571,295,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22145","153648002020004","66010497","",2001,53,5,33,218,2,,2001,10,30,,0,558,,,47.59399,-122.268173,98,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22147","153648002020004","66010497","",2001,53,5,33,220,2,,2001,10,30,,0,558,,,47.552319,-122.346786,295,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22149","153648002020004","66010497","",2001,53,5,33,222,1,,2000,7,6,,0,558,,,47.550655,-122.132339,591,,,,," 242Ae",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22150","153648002020004","66010497","",2001,53,5,33,223,2,,2001,10,30,,0,558,,,47.500385,-122.129013,394,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22151","153648002020004","66010497","",2001,53,5,33,224,2,,2001,10,30,,0,558,,,47.463158,-122.232338,0,,,,," 242Ab",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22153","153648002020004","66010497","",2001,53,5,33,226,2,,2001,10,30,,0,558,,,47.405933,-122.503189,98,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22156","153648002020004","66010497","",2001,53,5,33,229,2,,2001,10,30,,0,558,,,47.410934,-122.14373,492,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22157","153648002020004","66010497","",2001,53,5,33,230,2,,2001,10,31,,0,558,,,47.380932,-122.13372,394,,,,," 242Ae",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22159","153648002020004","66010497","",2001,53,5,33,232,2,,2001,10,31,,0,558,,,47.37566,-122.305672,394,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22160","153648002020004","66010497","",2001,53,5,33,233,1,,2000,6,22,,0,558,,,47.423435,-122.455688,197,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22161","153648002020004","66010497","",2001,53,5,33,234,1,,2000,6,21,,0,558,,,47.377605,-122.521797,98,,,,," 242Af",5307,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22163","153648002020004","66010497","",2001,53,5,33,236,2,,2001,10,30,,0,558,,,47.347324,-122.309845,394,,,,," 242Af",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22164","153648002020004","66010497","",2001,53,5,33,237,2,,2001,10,30,,0,558,,,47.312599,-122.200401,0,,,,," 242Ab",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22167","153648002020004","66010497","",2001,53,5,33,240,2,,2001,10,30,,0,558,,,47.263996,-122.214287,98,,,,," 242Ab",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22169","153648002020004","66010497","",2001,53,5,33,242,2,,2001,10,30,,0,558,,,47.448433,-122.224571,0,,,,," 242Ab",5309,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"22170","153648002020004","66010497","",2001,53,5,33,243,1,,2000,7,5,,0,558,,,47.30677,-121.709549,3543,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"26312","153648002020004","66010497","",2001,53,5,33,2001,1,,1996,7,20,,0,558,,,47.181454,-121.695097,3410,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"26316","153648002020004","66010497","",2001,53,5,33,2003,1,,1996,9,10,,0,558,,,47.193851,-121.630069,3310,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"26315","153648002020004","66010497","",2001,53,5,33,51958,1,,1996,9,6,,0,558,,,47.196953,-121.68977,2990,,,,,"M242Bb",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"26318","153648002020004","66010497","",2001,53,5,33,66589,1,,1996,10,12,,0,558,,,47.200983,-121.48731,2990,,,,,"M242Ba",5308,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
"32200","153648002020004","66010497","",2001,53,5,33,99799,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32004","153648002020004","66010497","",2001,53,5,33,99897,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32005","153648002020004","66010497","",2001,53,5,33,99898,2,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32006","153648002020004","66010497","",2001,53,5,33,99997,1,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"32007","153648002020004","66010497","",2001,53,5,33,99998,1,,2001,1,1,,0,558,,,,,,,,,,"",,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,2,1,,"",0,,"","",,,,,,,,
"22299","153648002020004","67010497","",2001,53,5,35,1,1,,2000,9,18,,0,558,,,47.918148,-122.531807,295,,,,," 242Af",5306,.1,,,"",2012-12-13,"20004","",2015-07-17,"489998","",,,1,4,,"",0,,"","",,,,,,,,
