"CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","LAT","LON","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A"
"9574349010661","9574125010661","1320347010538","",1985,25,1,1,45,2,,1984,5,0,,0,101,,,41.58344,-70.52725,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574351010661","9574125010661","1320347010538","",1985,25,1,1,46,2,,1984,6,0,,0,101,,,41.77788,-70.49947,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574353010661","9574125010661","1320347010538","",1985,25,1,1,47,1,,1984,5,0,,0,101,,,41.77788,-70.55503,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574380010661","9574125010661","1320347010538","",1985,25,1,1,48,1,,1984,5,0,,0,101,,,41.58344,-70.61059,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574413010661","9574125010661","1320347010538","",1985,25,1,1,49,2,,1984,5,0,,0,101,,,41.72233,-70.27724,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574415010661","9574125010661","1320347010538","",1985,25,1,1,50,1,,1984,5,0,,0,101,,,41.61122,-70.44391,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574450010661","9574125010661","1320347010538","",1985,25,1,1,51,1,,1984,7,0,,0,101,,,41.80566,-69.97168,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574453010661","9574125010661","1320347010538","",1985,25,1,1,52,2,,1984,5,0,,0,101,,,41.75011,-70.0828,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574455010661","9574125010661","1320347010538","",1985,25,1,1,53,1,,1984,5,0,,0,101,,,42.02788,-70.0828,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574457010661","9574125010661","1320347010538","",1985,25,1,1,54,2,,1984,5,0,,0,101,,,41.639,-70.22169,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574459010661","9574125010661","1320347010538","",1985,25,1,1,55,2,,1984,5,0,,0,101,,,41.69455,-70.19391,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574461010661","9574125010661","1320347010538","",1985,25,1,1,56,1,,1984,5,0,,0,101,,,41.75011,-70.19391,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574508010661","9574125010661","1320347010538","",1985,25,1,1,57,1,,1984,5,0,,0,101,,,41.75011,-70.19391,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574532010661","9574125010661","1320347010538","",1985,25,1,1,58,2,,1984,5,0,,0,101,,,41.72233,-70.24947,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574534010661","9574125010661","1320347010538","",1985,25,1,1,59,1,,1984,5,0,,0,101,,,41.72233,-69.99946,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574571010661","9574125010661","1320347010538","",1985,25,1,1,897,1,,1984,5,0,,4,999,,,41.797838,-69.973374,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574573010661","9574125010661","1320347010538","",1985,25,1,1,898,1,,1984,5,0,,4,999,,,41.797838,-69.973374,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574575010661","9574125010661","1320347010538","",1985,25,1,1,899,1,,1984,5,0,,4,999,,,41.797838,-69.973374,,,,,," 221Ab",2509,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574577010661","9574125010661","1320348010538","",1985,25,1,3,1,1,,1984,7,0,13,0,101,,,42.1112,-73.16622,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574624010661","9574125010661","1320348010538","",1985,25,1,3,2,1,,1984,7,0,13,0,101,,,42.08343,-73.13844,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574646010661","9574125010661","1320348010538","",1985,25,1,3,4,1,,1984,7,0,13,0,101,,,42.1112,-73.11066,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574687010661","9574125010661","1320348010538","",1985,25,1,3,6,1,,1984,7,0,13,0,101,,,42.25009,-73.13844,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574715010661","9574125010661","1320348010538","",1985,25,1,3,7,1,,1984,7,0,13,0,101,,,42.27787,-73.13844,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574735010661","9574125010661","1320348010538","",1985,25,1,3,15,1,,1984,7,0,13,0,101,,,42.30564,-73.0551,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574758010661","9574125010661","1320348010538","",1985,25,1,3,16,1,,1984,7,0,13,0,101,,,42.38898,-73.02732,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574805010661","9574125010661","1320348010538","",1985,25,1,3,19,1,,1984,6,0,12,0,101,,,42.58342,-73.0551,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574838010661","9574125010661","1320348010538","",1985,25,1,3,23,1,,1984,5,0,12,0,101,,,42.69453,-73.0551,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574865010661","9574125010661","1320348010538","",1985,25,1,3,27,1,,1984,6,0,12,0,101,,,42.38898,-73.08288,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574896010661","9574125010661","1320348010538","",1985,25,1,3,29,1,,1984,7,0,13,0,101,,,42.16676,-73.0551,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574914010661","9574125010661","1320348010538","",1985,25,1,3,33,1,,1984,8,0,13,0,101,,,42.16676,-73.13844,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574949010661","9574125010661","1320348010538","",1985,25,1,3,36,1,,1984,7,0,13,0,101,,,42.19453,-73.11066,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9574992010661","9574125010661","1320348010538","",1985,25,1,3,38,1,,1984,7,0,13,0,101,,,42.30564,-73.11066,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575021010661","9574125010661","1320348010538","",1985,25,1,3,39,1,,1984,8,0,13,0,101,,,42.08342,-73.49956,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575045010661","9574125010661","1320348010538","",1985,25,1,3,40,1,,1984,7,0,13,0,101,,,42.22231,-73.47178,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575077010661","9574125010661","1320348010538","",1985,25,1,3,41,1,,1984,5,0,12,0,101,,,42.3612,-73.38844,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575103010661","9574125010661","1320348010538","",1985,25,1,3,43,1,,1984,8,0,13,0,101,,,42.08342,-73.41623,,2,2,,," 221Ae",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575130010661","9574125010661","1320348010538","",1985,25,1,3,47,1,,1984,6,0,12,0,101,,,42.44453,-73.33288,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575155010661","9574125010661","1320348010538","",1985,25,1,3,48,2,,1984,7,0,13,0,101,,,42.38897,-73.33289,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575157010661","9574125010661","1320348010538","",1985,25,1,3,49,1,,1984,5,0,12,0,101,,,42.3612,-73.33289,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575186010661","9574125010661","1320348010538","",1985,25,1,3,52,1,,1984,8,0,13,0,101,,,42.30564,-73.30511,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575221010661","9574125010661","1320348010538","",1985,25,1,3,58,1,,1984,6,0,12,0,101,,,42.55564,-73.27733,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575256010661","9574125010661","1320348010538","",1985,25,1,3,61,2,,1984,6,0,12,0,101,,,42.58342,-73.11066,,2,2,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575258010661","9574125010661","1320348010538","",1985,25,1,3,63,1,,1984,6,0,12,0,101,,,42.6112,-72.99954,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575316010661","9574125010661","1320348010538","",1985,25,1,3,64,1,,1984,6,0,12,0,101,,,42.58342,-72.99954,,2,2,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575375010661","9574125010661","1320348010538","",1985,25,1,3,104,1,,1984,7,0,,0,101,,,42.3612,-73.16622,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575395010661","9574125010661","1320348010538","",1985,25,1,3,105,1,,1984,7,0,,0,101,,,42.3612,-73.13844,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575448010661","9574125010661","1320348010538","",1985,25,1,3,106,1,,1984,7,0,,0,101,,,42.41675,-73.11066,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575481010661","9574125010661","1320348010538","",1985,25,1,3,107,2,,1984,8,0,,0,101,,,42.47231,-73.13844,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575483010661","9574125010661","1320348010538","",1985,25,1,3,108,2,,1984,6,0,,0,101,,,42.61119,-73.13844,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575485010661","9574125010661","1320348010538","",1985,25,1,3,109,2,,1984,6,0,,0,101,,,42.66675,-73.08288,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575487010661","9574125010661","1320348010538","",1985,25,1,3,110,1,,1984,7,0,,0,101,,,42.05565,-73.16622,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575533010661","9574125010661","1320348010538","",1985,25,1,3,111,1,,1984,7,0,,0,101,,,42.08342,-73.194,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575571010661","9574125010661","1320348010538","",1985,25,1,3,112,1,,1984,7,0,,0,101,,,42.22231,-73.24955,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575622010661","9574125010661","1320348010538","",1985,25,1,3,113,1,,1984,7,0,,0,101,,,42.25009,-73.24955,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575674010661","9574125010661","1320348010538","",1985,25,1,3,114,1,,1984,8,0,,0,101,,,42.38897,-73.22177,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575714010661","9574125010661","1320348010538","",1985,25,1,3,115,2,,1984,7,0,,0,101,,,42.05565,-73.30512,,,,,," 221Ae",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575716010661","9574125010661","1320348010538","",1985,25,1,3,116,1,,1984,7,0,,0,101,,,42.05565,-73.30512,,,,,," 221Ae",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575768010661","9574125010661","1320348010538","",1985,25,1,3,117,2,,1984,8,0,,0,101,,,42.55564,-73.16621,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575770010661","9574125010661","1320348010538","",1985,25,1,3,118,1,,1984,8,0,,0,101,,,42.27787,-73.30511,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575813010661","9574125010661","1320348010538","",1985,25,1,3,119,2,,1984,5,0,,0,101,,,42.27787,-73.30511,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575815010661","9574125010661","1320348010538","",1985,25,1,3,120,2,,1984,8,0,,0,101,,,42.3612,-73.30511,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575817010661","9574125010661","1320348010538","",1985,25,1,3,121,1,,1984,6,0,,0,101,,,42.55564,-73.27733,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575871010661","9574125010661","1320348010538","",1985,25,1,3,122,1,,1984,5,0,,0,101,,,42.22231,-73.444,,,,,," 221Ae",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575913010661","9574125010661","1320348010538","",1985,25,1,3,123,1,,1984,5,0,,0,101,,,42.33342,-73.33289,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9575952010661","9574125010661","1320348010538","",1985,25,1,3,124,1,,1984,5,0,,0,101,,,42.30564,-73.33289,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576010010661","9574125010661","1320348010538","",1985,25,1,3,125,1,,1984,7,0,,0,101,,,42.3612,-73.36066,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576055010661","9574125010661","1320348010538","",1985,25,1,3,126,1,,1984,9,0,,0,101,,,42.05565,-73.47179,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576064010661","9574125010661","1320348010538","",1985,25,1,3,127,2,,1984,7,0,,0,101,,,42.16676,-73.444,,,,,," 221Ae",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576066010661","9574125010661","1320348010538","",1985,25,1,3,128,1,,1984,7,0,,0,101,,,42.22231,-73.36067,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576111010661","9574125010661","1320348010538","",1985,25,1,3,129,1,,1984,7,0,,0,101,,,42.27787,-73.41622,,,,,,"M211Cb",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576172010661","9574125010661","1320348010538","",1985,25,1,3,130,1,,1984,6,0,,0,101,,,42.58342,-72.97177,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576217010661","9574125010661","1320348010538","",1985,25,1,3,131,1,,1984,7,0,,0,101,,,42.69453,-72.97177,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576272010661","9574125010661","1320348010538","",1985,25,1,3,132,1,,1984,6,0,,0,101,,,42.27787,-73.02732,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576326010661","9574125010661","1320348010538","",1985,25,1,3,133,1,,1984,6,0,,0,101,,,42.41675,-73.08288,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576383010661","9574125010661","1320348010538","",1985,25,1,3,134,1,,1984,6,0,,0,101,,,42.58342,-73.02732,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576438010661","9574125010661","1320348010538","",1985,25,1,3,135,1,,1984,6,0,,0,101,,,42.55564,-73.08288,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576501010661","9574125010661","1320348010538","",1985,25,1,3,136,1,,1984,6,0,,0,101,,,42.55564,-73.02732,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576542010661","9574125010661","1320348010538","",1985,25,1,3,137,1,,1984,6,0,,0,101,,,42.55564,-73.02732,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576562010661","9574125010661","1320348010538","",1985,25,1,3,138,1,,1984,6,0,,0,101,,,42.61119,-73.08288,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576632010661","9574125010661","1320348010538","",1985,25,1,3,139,1,,1984,6,0,,0,101,,,42.63897,-73.02732,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576692010661","9574125010661","1320348010538","",1985,25,1,3,140,1,,1984,5,0,,0,101,,,42.69453,-73.0551,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
"9576744010661","9574125010661","1320348010538","",1985,25,1,3,141,1,,1984,7,0,,0,101,,,42.08343,-73.11066,,,,,,"M211Cc",2501,0,,,"",2003-09-26,"10661","",2016-03-16,"489998","",,,1,4,,"",3,0,"","",,,,,,,,
